timestamp,workload_id,status,total_cpu_used,total_cpu_capacity,percent_cpu_used,total_mem_used_gb,total_mem_capacity_gb,percent_mem_used
1,201,SUCCESS,2,18,11.11111111111111,4,72,5.555555555555555
2,202,SUCCESS,3,18,16.666666666666664,6,72,8.333333333333332
3,203,SUCCESS,7,18,38.88888888888889,14,72,19.444444444444446
4,204,SUCCESS,9,18,50.0,16,72,22.22222222222222
5,205,SUCCESS,17,18,94.44444444444444,46,72,63.888888888888886
6,206,SUCCESS,18,18,100.0,50,72,69.44444444444444
7,207,FAILURE,18,18,100.0,50,72,69.44444444444444
8,208,FAILURE,18,18,100.0,50,72,69.44444444444444
