timestamp,workload_id,status,total_cpu_used,total_cpu_capacity,percent_cpu_used,total_mem_used_gb,total_mem_capacity_gb,percent_mem_used
1,201,SUCCESS,2,18,11.11111111111111,4,72,5.555555555555555
2,202,SUCCESS,3,18,16.666666666666664,6,72,8.333333333333332
3,203,SUCCESS,7,18,38.88888888888889,14,72,19.444444444444446
4,204,SUCCESS,9,18,50.0,16,72,22.22222222222222
5,205,FAILURE,9,18,50.0,16,72,22.22222222222222
6,206,SUCCESS,10,18,55.55555555555556,20,72,27.77777777777778
7,207,SUCCESS,13,18,72.22222222222221,26,72,36.11111111111111
8,208,SUCCESS,15,18,83.33333333333334,34,72,47.22222222222222
